"id","category","de","zh-Hans","context","limit","status","note"
"tut.archetypen.eis.0","i18n","Eis friert Karten auf dem Brett fest und sammelt darauf Masse. Bricht das Eis, zahlt es alles auf einmal.","冰会把卡牌冻结在棋盘上，并在上面积累质量。冰一旦碎裂，就会一次性全部结算。","zusammenhängende Tutorial-Lektion (Fließtext)","","new","DE-Länge 105 Zeichen"
"tut.archetypen.eis.1","i18n","Wie du Eis spielst, steht im Leitfaden.","冰具体怎么玩，指南里有写。","zusammenhängende Tutorial-Lektion (Fließtext)","","new","DE-Länge 39 Zeichen"
"tut.archetypen.eis.2","i18n","Nach jedem Eis-Skill wählst du eine Karte für den Gletscher. Das ist Pflicht.","每拿到一个冰技能，你都要选一张卡牌作为冰川。这是强制的。","zusammenhängende Tutorial-Lektion (Fließtext)","","new","DE-Länge 77 Zeichen"
"tut.archetypen.eis.title","i18n","Eis","冰","zusammenhängende Tutorial-Lektion (Fließtext)","","new","DE-Länge 3 Zeichen"
"tut.archetypen.feuer.0","i18n","Feuer sammelt Hitze. Hitze steigt, wenn du deutlich gewinnst, nicht nur knapp.","火会积累热量。只有赢得明显才会让热量上升，险胜不行。","zusammenhängende Tutorial-Lektion (Fließtext)","","new","DE-Länge 78 Zeichen"
"tut.archetypen.feuer.1","i18n","Wie du Feuer spielst, steht im Leitfaden.","火具体怎么玩，指南里有写。","zusammenhängende Tutorial-Lektion (Fließtext)","","new","DE-Länge 41 Zeichen"
"tut.archetypen.feuer.2","i18n","Gehaltene Hitze zahlt von allein. Verbrennen musst du sie erst mit dem passenden Skill.","留着的热量本身就会持续产出。要把它烧掉，得先有对应的技能。","zusammenhängende Tutorial-Lektion (Fließtext)","","new","DE-Länge 87 Zeichen"
"tut.archetypen.feuer.title","i18n","Feuer","火","zusammenhängende Tutorial-Lektion (Fließtext)","","new","DE-Länge 5 Zeichen"
"tut.archetypen.pflanze.0","i18n","Pflanze lässt Karten wachsen. Eine reife Karte ist dauerhaft mehr wert.","植物会让卡牌生长。长成的卡牌数值会永久提高。","zusammenhängende Tutorial-Lektion (Fließtext)","","new","DE-Länge 71 Zeichen"
"tut.archetypen.pflanze.1","i18n","Wie du Pflanze spielst, steht im Leitfaden.","植物具体怎么玩，指南里有写。","zusammenhängende Tutorial-Lektion (Fließtext)","","new","DE-Länge 43 Zeichen"
"update.reload","i18n","Neu laden","重新加载","role:text-body-lg kürzeste","","new","DE-Länge 9 Zeichen"
"upgrades.ranked.free","i18n","frei","免费","role:text-meta kürzeste","","new","DE-Länge 4 Zeichen"
"upgrades.title","i18n","Upgrades","升级","role:text-title (alle 8)","","new","DE-Länge 8 Zeichen"
